device_id,record_time,cpu_usage_percent,memory_usage_percent,temperature_celsius,online_flag
DEV-5141,2025-06-05 07:26:31,45.2,64.8,39.3,True
VMS-9485,2025-06-04 19:36:32,60.5,90.2,34.2,True
RSU-2412,2025-06-04 18:18:09,81.5,32.3,58.2,True
CAM-5094,2025-06-03 08:34:15,88.8,58.9,29.4,True
VMS-3279,2025-06-02 07:29:14,20.9,38.2,74.9,True
DEV-3696,2025-06-06 06:18:35,71.1,39.1,78.6,True
SEN-6121,2025-06-04 07:56:57,41.9,19.0,83.1,True
RSU-2876,2025-06-03 05:28:40,68.8,86.9,37.2,True
SEN-9448,2025-06-05 17:14:10,11.3,23.0,30.3,True
CAM-5320,2025-06-05 04:55:27,71.6,79.0,76.7,True
SEN-8721,2025-06-07 08:34:26,13.8,18.4,28.6,True
DEV-3696,2025-06-06 15:21:30,64.7,72.6,82.4,True
VMS-6450,2025-06-05 10:02:00,15.4,67.7,38.1,True
DEV-5141,2025-06-02 21:20:47,22.7,86.2,69.7,True
VMS-5226,2025-06-04 21:34:54,79.4,65.0,48.8,True
VMS-7793,2025-06-06 10:08:41,93.7,94.9,27.5,True
VMS-4540,2025-06-02 17:38:58,76.8,47.5,56.4,True
RSU-6684,2025-06-01 18:13:46,9.3,65.8,31.0,True
RSU-1640,2025-06-03 05:35:24,73.4,65.1,31.3,True
CAM-3584,2025-06-06 18:19:00,54.0,59.3,29.6,True
RSU-2412,2025-06-06 14:52:05,16.6,78.5,63.2,True
SEN-6121,2025-06-05 13:26:16,87.2,53.4,25.6,True
RSU-4083,2025-06-07 18:38:18,80.6,84.1,54.7,True
CAM-9540,2025-06-01 14:54:43,69.2,88.6,76.6,True
CAM-9540,2025-06-07 10:03:50,33.9,91.2,29.3,True
SEN-9448,2025-06-02 06:27:51,48.4,87.0,54.7,True
VMS-2566,2025-06-03 07:04:15,50.3,42.7,68.3,True
DEV-5777,2025-06-05 08:02:38,57.6,64.9,77.0,True
VMS-9485,2025-06-06 15:16:57,18.8,84.4,25.5,True
SEN-8721,2025-06-05 19:41:35,23.2,61.5,78.0,True
CAM-8906,2025-06-06 06:08:34,70.6,11.9,67.0,True
VMS-6450,2025-06-01 20:22:17,39.1,42.4,31.4,True
RSU-6684,2025-06-03 19:37:19,7.9,60.5,68.8,True
VMS-2566,2025-06-07 06:18:56,33.9,10.5,61.0,False
CAM-5720,2025-06-02 19:42:13,88.6,11.3,25.6,True
CAM-5720,2025-06-03 08:51:15,81.6,41.1,70.8,True
VMS-9055,2025-06-07 11:36:51,21.1,30.8,73.1,True
SEN-9219,2025-06-03 07:44:50,47.8,30.1,32.6,True
VMS-3279,2025-06-03 20:58:32,39.2,63.6,71.8,True
CAM-8906,2025-06-05 21:58:56,25.2,13.0,67.5,True
DEV-5777,2025-06-03 18:15:28,39.7,94.6,79.6,True
SEN-9113,2025-06-04 08:38:30,58.5,22.2,53.6,True
DEV-9259,2025-06-01 17:03:06,88.7,62.8,67.0,True
VMS-5226,2025-06-05 14:23:24,56.0,40.6,41.9,True
DEV-5777,2025-06-06 18:20:36,72.2,41.6,53.4,True
VMS-6450,2025-06-05 18:37:18,13.7,39.0,59.2,True
RSU-1640,2025-06-05 18:15:24,69.7,64.0,38.1,True
CAM-8906,2025-06-03 21:34:11,85.2,14.5,39.2,True
VMS-9055,2025-06-02 17:07:51,5.7,85.7,84.3,True
SEN-6121,2025-06-06 09:48:17,93.8,60.6,54.5,True
VMS-9485,2025-06-02 18:11:44,9.7,44.8,61.0,True
SEN-8721,2025-06-07 18:46:19,88.6,38.6,34.8,True
RSU-2876,2025-06-05 11:44:00,74.3,27.3,48.1,True
VMS-9485,2025-06-03 06:19:07,68.2,52.3,26.6,True
DEV-3696,2025-06-04 19:14:39,27.8,30.6,76.7,True
VMS-9055,2025-06-02 16:45:20,54.1,18.6,59.6,True
CAM-8906,2025-06-05 09:35:55,9.5,63.8,76.7,True
SEN-8721,2025-06-02 16:10:32,91.2,59.9,51.6,True
VMS-6450,2025-06-06 01:19:15,31.7,15.3,81.2,True
VMS-3279,2025-06-06 18:09:48,60.3,48.1,45.2,True
SEN-9219,2025-06-06 18:00:52,36.1,36.3,74.8,True
SEN-9219,2025-06-07 19:01:24,35.8,77.2,30.1,True
SEN-6121,2025-06-05 20:04:48,25.2,88.0,58.8,True
CAM-5320,2025-06-07 20:10:55,14.0,88.8,25.6,True
DEV-9259,2025-06-05 22:09:58,50.8,29.3,50.5,True
VMS-7793,2025-06-02 16:47:46,32.6,16.8,49.7,True
VMS-9055,2025-06-04 08:28:42,38.7,25.3,59.6,True
VMS-7793,2025-06-04 19:45:02,88.1,23.1,80.0,True
VMS-7793,2025-06-02 18:59:11,26.2,35.1,60.9,True
RSU-2412,2025-06-07 06:07:30,22.8,16.9,37.0,True
RSU-2876,2025-06-05 00:43:39,8.1,51.7,52.6,True
CAM-5720,2025-06-05 21:25:36,45.5,33.9,48.6,True
VMS-9055,2025-06-07 17:12:43,72.2,70.3,50.7,True
SEN-9113,2025-06-02 19:00:15,59.0,43.5,81.6,True
RSU-2876,2025-06-03 08:08:15,52.3,85.6,63.4,True
SEN-8721,2025-06-03 08:58:31,93.5,18.6,62.9,True
DEV-3696,2025-06-06 15:20:55,74.7,13.7,82.4,True
SEN-9448,2025-06-07 06:42:44,7.1,43.1,81.7,True
CAM-5320,2025-06-05 08:49:17,35.1,60.9,76.1,True
SEN-7909,2025-06-02 08:57:49,18.8,41.6,62.5,True
SEN-8721,2025-06-02 09:20:21,33.5,71.0,27.8,True
VMS-6450,2025-06-07 19:48:05,77.7,50.8,67.7,True
SEN-6121,2025-06-05 13:00:48,78.4,24.5,35.7,True
VMS-3279,2025-06-02 07:59:40,29.3,38.4,28.8,True
DEV-5777,2025-06-02 18:22:13,81.4,76.2,38.2,True
SEN-9113,2025-06-06 19:37:26,55.8,75.5,44.9,True
CAM-3584,2025-06-03 18:22:21,19.8,23.8,63.3,True
CAM-5094,2025-06-02 14:12:57,69.8,12.3,71.7,True
SEN-7909,2025-06-07 02:46:16,12.9,89.2,37.1,True
CAM-3584,2025-06-03 07:53:51,49.6,24.5,54.3,True
CAM-5320,2025-06-03 04:06:40,64.2,30.5,48.0,True
DEV-5141,2025-06-03 13:20:22,58.5,93.8,52.6,True
RSU-2412,2025-06-04 07:04:08,32.1,18.6,31.7,True
VMS-9485,2025-06-04 13:27:46,52.6,76.2,55.6,True
CAM-8906,2025-06-04 07:14:06,34.8,13.6,74.2,True
VMS-9485,2025-06-01 20:28:29,88.6,88.0,44.4,True
SEN-9448,2025-06-02 14:36:34,68.1,30.1,47.0,True
CAM-5320,2025-06-05 14:10:18,47.1,67.4,30.5,True
CAM-5094,2025-06-04 19:04:25,36.9,38.0,29.0,True
DEV-9259,2025-06-03 08:41:04,50.8,71.9,54.4,True
RSU-9703,2025-06-02 05:22:19,79.7,46.3,68.3,True
SEN-9113,2025-06-03 07:05:05,24.2,49.4,67.7,True
VMS-2566,2025-06-05 17:07:19,49.5,74.7,52.1,True
VMS-2566,2025-06-04 01:44:41,8.4,62.9,71.2,True
DEV-5777,2025-06-02 07:08:39,60.1,23.7,82.3,True
VMS-9485,2025-06-05 12:23:22,86.0,17.1,75.6,True
CAM-5320,2025-06-04 09:01:39,37.0,34.7,63.8,True
RSU-2412,2025-06-03 05:09:50,80.1,12.7,52.5,True
VMS-5226,2025-06-04 03:00:45,24.8,87.9,42.4,True
RSU-6684,2025-06-07 13:22:05,6.3,41.3,62.2,False
RSU-9703,2025-06-07 14:06:53,20.3,66.7,54.5,True
SEN-8721,2025-06-07 22:32:38,18.6,65.8,50.7,True
CAM-9540,2025-06-01 18:00:19,57.5,51.7,59.7,True
VMS-3279,2025-06-05 08:26:29,66.9,84.9,53.0,False
CAM-8906,2025-06-02 10:15:32,14.5,48.5,38.0,True
VMS-7793,2025-06-04 14:37:09,92.4,35.3,82.0,True
SEN-6121,2025-06-02 07:24:00,88.5,73.0,76.2,True
CAM-5094,2025-06-05 20:20:31,28.1,52.4,50.0,True
SEN-7909,2025-06-04 17:11:26,58.9,87.0,50.0,True
DEV-3696,2025-06-05 20:06:00,84.9,78.0,63.9,True
CAM-3584,2025-06-02 19:28:05,34.9,81.1,25.8,True
CAM-5720,2025-06-05 08:48:42,45.1,68.9,67.4,True
VMS-7793,2025-06-01 08:25:25,61.8,20.2,76.9,True
SEN-9448,2025-06-03 18:09:51,44.8,29.1,70.6,True
CAM-9540,2025-06-05 04:13:29,83.5,31.3,48.9,False
VMS-5226,2025-06-06 16:45:50,70.4,12.1,30.5,True
VMS-9485,2025-06-05 22:03:42,22.1,91.8,69.7,True
VMS-6450,2025-06-03 19:43:50,20.4,73.3,34.9,True
DEV-9259,2025-06-06 02:38:20,56.7,77.3,61.1,True
SEN-7909,2025-06-07 13:20:08,14.4,15.3,83.3,True
CAM-3584,2025-06-07 18:30:38,36.1,82.7,69.4,True
CAM-9540,2025-06-07 13:59:13,86.1,60.7,55.3,True
VMS-7793,2025-06-02 18:51:02,37.2,45.7,50.0,True
VMS-6450,2025-06-06 11:26:12,74.8,11.8,42.6,True
VMS-5226,2025-06-06 18:58:11,22.5,32.2,71.3,True
SEN-9113,2025-06-01 06:22:55,50.8,18.4,58.3,False
RSU-2876,2025-06-05 08:26:29,27.7,87.6,75.6,True
CAM-3584,2025-06-04 16:36:17,24.0,37.2,25.4,True
RSU-2412,2025-06-07 06:36:19,31.4,84.7,71.7,True
SEN-9113,2025-06-06 14:04:27,22.1,44.8,33.1,True
RSU-4083,2025-06-01 18:14:46,55.1,22.0,30.7,True
DEV-9259,2025-06-04 18:21:19,64.2,59.3,37.1,True
VMS-7793,2025-06-03 23:13:53,73.6,37.1,50.2,True
SEN-9448,2025-06-03 00:58:32,43.9,52.9,32.8,True
CAM-5720,2025-06-03 08:56:38,49.6,20.9,52.0,True
RSU-1640,2025-06-07 12:39:17,65.8,60.8,28.0,True
SEN-9219,2025-06-07 20:43:56,82.4,57.6,70.4,True
SEN-9113,2025-06-06 15:58:02,7.3,74.1,33.1,True
DEV-5777,2025-06-04 16:01:37,65.6,86.2,70.8,True
SEN-9219,2025-06-07 07:46:47,87.5,79.9,61.7,True
RSU-1640,2025-06-03 19:16:25,35.8,62.5,81.1,True
DEV-5141,2025-06-03 14:22:35,43.9,24.5,43.6,True
VMS-2566,2025-06-01 16:51:49,80.8,66.0,75.2,True
CAM-3584,2025-06-05 08:08:17,47.3,43.0,57.4,True
SEN-8721,2025-06-01 20:15:23,8.2,36.9,31.4,True
CAM-8906,2025-06-05 16:42:06,15.2,41.6,44.6,True
RSU-6684,2025-06-05 16:46:48,12.9,75.9,38.9,True
RSU-2412,2025-06-02 08:30:35,55.5,51.0,85.0,True
SEN-7909,2025-06-01 16:06:07,76.1,28.1,68.1,True
VMS-4540,2025-06-02 19:52:10,58.8,38.7,46.0,True
CAM-3584,2025-06-05 08:36:12,8.4,73.0,52.2,True
SEN-6121,2025-06-06 17:35:15,58.7,79.7,70.6,True
RSU-6684,2025-06-05 18:14:46,8.5,14.7,54.4,True
VMS-7793,2025-06-01 18:17:07,12.3,79.3,31.1,True
CAM-5094,2025-06-03 16:56:15,65.6,12.5,68.2,True
SEN-8721,2025-06-04 14:40:21,45.3,74.5,60.4,True
RSU-9703,2025-06-02 06:31:36,47.3,54.0,49.7,True
VMS-7793,2025-06-05 09:52:37,36.0,44.5,37.1,True
CAM-3584,2025-06-05 14:31:21,80.7,16.2,56.6,True
VMS-3279,2025-06-03 08:21:05,57.7,20.0,42.1,True
VMS-6450,2025-06-05 19:29:58,23.9,47.7,62.6,True
RSU-4083,2025-06-07 05:37:15,13.1,46.9,25.5,True
DEV-3696,2025-06-02 06:16:11,44.1,33.5,77.5,True
SEN-9113,2025-06-06 18:27:11,21.0,10.2,61.4,True
SEN-9113,2025-06-07 08:30:33,8.2,40.6,44.0,True
CAM-9540,2025-06-03 07:00:19,70.5,76.3,51.4,True
SEN-6121,2025-06-05 17:52:46,12.5,46.3,38.3,True
RSU-9703,2025-06-06 08:58:14,68.0,71.8,49.7,True
VMS-6450,2025-06-06 07:51:29,44.2,27.9,56.2,True
CAM-5320,2025-06-06 07:38:54,57.3,80.3,54.8,True
SEN-7909,2025-06-05 18:10:38,59.9,46.3,78.2,True
VMS-7793,2025-06-04 07:03:18,45.4,22.0,37.2,True
SEN-9113,2025-06-03 17:20:16,25.9,37.9,54.9,True
SEN-9448,2025-06-04 11:33:39,19.4,71.1,31.4,False
SEN-8721,2025-06-06 05:43:33,91.7,65.9,55.3,True
VMS-9485,2025-06-05 16:11:56,80.7,72.8,41.2,True
RSU-1640,2025-06-07 05:39:19,54.9,93.5,64.1,True
CAM-5094,2025-06-06 12:58:29,28.6,48.0,43.3,True
RSU-2412,2025-06-04 15:12:21,71.7,24.9,73.7,True
RSU-2412,2025-06-06 15:40:26,39.3,72.9,68.8,True
VMS-5226,2025-06-06 16:52:25,50.5,35.4,68.0,True
CAM-9540,2025-06-02 19:57:52,31.5,39.0,69.5,True
VMS-2566,2025-06-02 17:11:46,79.3,20.5,67.4,True
RSU-2412,2025-06-02 22:08:10,72.1,39.2,70.6,False
CAM-3584,2025-06-07 20:15:11,41.2,31.9,35.8,True
VMS-7793,2025-06-01 07:38:07,93.5,24.8,66.1,True
DEV-3696,2025-06-05 15:43:50,14.0,32.4,49.1,True
CAM-8906,2025-06-01 22:52:05,7.8,88.7,42.4,True
CAM-3584,2025-06-07 07:58:32,15.8,14.7,69.8,True
VMS-5226,2025-06-02 12:13:42,57.8,45.5,66.0,True
DEV-5777,2025-06-04 06:26:51,40.2,45.1,62.7,True
RSU-6684,2025-06-03 18:24:04,85.1,17.9,47.0,True
SEN-9113,2025-06-01 22:49:24,41.5,59.6,68.8,True
VMS-4540,2025-06-06 04:02:35,80.1,40.9,34.5,True
SEN-9113,2025-06-07 17:49:17,17.3,18.7,41.3,True
SEN-7909,2025-06-01 14:33:12,63.1,48.8,36.3,True
VMS-5226,2025-06-07 07:32:46,7.9,62.0,68.4,False
DEV-5777,2025-06-06 19:07:20,10.3,92.5,42.6,True
RSU-6684,2025-06-03 07:05:17,23.4,41.0,59.1,True
DEV-5777,2025-06-05 11:00:08,80.3,75.6,38.3,True
RSU-1640,2025-06-05 10:27:16,79.4,59.0,50.8,True
CAM-5320,2025-06-04 08:48:29,36.5,12.5,55.3,True
SEN-7909,2025-06-02 17:53:10,35.7,67.3,54.2,True
RSU-2412,2025-06-02 17:13:58,52.3,49.5,57.0,True
RSU-4083,2025-06-07 17:47:46,48.6,28.3,30.1,True
RSU-1640,2025-06-02 08:43:30,36.3,37.2,41.9,True
CAM-5094,2025-06-01 06:08:38,87.5,61.3,49.5,True
SEN-7909,2025-06-06 20:34:46,77.7,76.4,51.2,True
VMS-2566,2025-06-02 18:56:07,40.0,86.4,67.7,True
VMS-2566,2025-06-03 17:11:58,6.0,73.8,29.1,True
VMS-7793,2025-06-03 09:03:54,37.3,31.6,43.7,True
RSU-9703,2025-06-06 08:07:11,74.0,42.4,25.9,True
RSU-9703,2025-06-03 18:55:07,91.7,82.2,26.4,True
VMS-4540,2025-06-05 07:42:04,73.3,34.5,33.0,True
DEV-5141,2025-06-02 20:44:47,9.8,39.2,67.1,True
CAM-9540,2025-06-04 08:37:29,17.4,86.8,47.0,True
CAM-5720,2025-06-02 18:03:14,66.3,88.9,64.2,True
VMS-2566,2025-06-06 19:54:32,29.8,22.6,40.4,True
RSU-6684,2025-06-06 11:03:14,48.2,21.5,48.6,True
CAM-3584,2025-06-05 08:12:28,13.0,80.6,58.4,True
VMS-4540,2025-06-05 11:27:55,36.6,48.0,83.5,True
VMS-9055,2025-06-06 09:51:30,86.0,77.9,30.2,True
VMS-6450,2025-06-06 17:04:52,50.0,76.1,65.1,True
RSU-6684,2025-06-06 23:00:39,84.1,74.4,38.9,True
RSU-2412,2025-06-05 19:22:08,81.3,76.0,84.6,True
CAM-3584,2025-06-01 07:39:03,44.7,77.1,42.6,True
SEN-9448,2025-06-07 00:35:06,22.9,14.1,35.7,True
RSU-9703,2025-06-02 18:56:30,13.2,91.9,40.0,True
CAM-5094,2025-06-04 18:12:07,38.0,39.2,38.3,False
DEV-5777,2025-06-04 06:40:07,70.0,92.4,50.5,False
CAM-3584,2025-06-04 19:13:46,70.2,25.2,81.3,True
CAM-9540,2025-06-05 20:56:15,43.1,58.3,45.8,True
DEV-5141,2025-06-02 16:51:46,53.4,27.9,25.9,True
RSU-4083,2025-06-03 15:42:23,65.5,10.3,46.6,True
VMS-6450,2025-06-03 08:29:26,45.4,75.1,61.2,True
DEV-9259,2025-06-03 10:59:16,36.9,85.1,65.7,True
VMS-4540,2025-06-01 17:32:26,60.0,87.4,32.9,True
CAM-5720,2025-06-07 06:41:55,78.2,94.1,25.2,True
SEN-9113,2025-06-02 17:09:39,87.7,21.5,67.0,True
CAM-5320,2025-06-06 08:27:56,79.9,17.3,61.6,True
VMS-6450,2025-06-02 17:19:57,61.5,65.0,35.5,True
VMS-4540,2025-06-01 08:32:09,75.3,37.3,69.8,True
RSU-1640,2025-06-03 17:11:51,61.9,59.6,80.6,True
SEN-6121,2025-06-06 07:08:23,49.4,43.6,58.4,False
VMS-6450,2025-06-04 17:21:59,9.8,21.7,52.2,True
RSU-4083,2025-06-01 06:37:17,27.2,44.5,58.1,True
SEN-7909,2025-06-06 17:08:20,43.8,69.5,25.4,True
RSU-6684,2025-06-06 08:18:00,43.4,28.1,38.5,True
SEN-7909,2025-06-02 21:32:39,26.6,60.4,50.6,True
RSU-6684,2025-06-04 17:19:10,13.4,35.3,82.3,True
CAM-8906,2025-06-01 09:13:19,80.9,94.9,58.4,True
CAM-8906,2025-06-02 20:21:28,44.8,49.0,55.5,True
VMS-4540,2025-06-01 07:41:58,12.4,48.3,67.3,True
DEV-3696,2025-06-03 07:30:57,47.3,71.8,79.8,True
VMS-9055,2025-06-03 07:20:42,42.8,78.6,44.7,True
SEN-6121,2025-06-01 06:12:32,69.8,47.1,84.8,True
RSU-2876,2025-06-07 09:27:40,31.9,11.4,44.5,True
VMS-9485,2025-06-05 19:59:15,53.3,34.2,67.9,True
RSU-2412,2025-06-02 19:44:04,79.9,14.8,82.1,True
SEN-9448,2025-06-04 22:14:00,48.3,72.6,84.7,True
SEN-9219,2025-06-02 08:46:43,37.1,15.4,76.6,False
DEV-3696,2025-06-06 08:47:54,40.9,64.9,27.3,True
RSU-2412,2025-06-06 18:54:12,83.3,50.6,72.4,True
RSU-9703,2025-06-04 07:28:58,65.6,38.3,72.0,True
CAM-5320,2025-06-01 08:43:20,83.7,90.5,50.9,False
SEN-9219,2025-06-01 07:00:40,65.8,48.9,65.3,True
VMS-9055,2025-06-01 07:02:47,21.0,68.5,43.6,True
DEV-5141,2025-06-02 22:49:10,50.6,48.9,79.0,True
VMS-9055,2025-06-02 16:28:04,14.8,70.5,73.2,True
SEN-9448,2025-06-06 06:26:35,77.4,43.1,82.7,True
SEN-9448,2025-06-07 19:18:44,52.0,15.1,80.3,True
CAM-3584,2025-06-04 14:08:26,92.2,74.2,40.1,True
SEN-9448,2025-06-06 12:53:49,86.7,44.3,47.8,True
VMS-3279,2025-06-06 07:21:38,40.9,41.1,31.0,True
CAM-3584,2025-06-04 08:05:38,40.2,82.1,62.5,True
VMS-3279,2025-06-04 16:21:01,70.7,82.3,65.5,True
SEN-7909,2025-06-06 03:28:26,38.1,82.4,36.9,True
CAM-3584,2025-06-05 18:18:23,28.1,33.4,63.5,True
VMS-6450,2025-06-03 21:08:04,59.9,53.3,50.6,True
RSU-6684,2025-06-01 14:45:09,74.3,81.6,40.5,True
RSU-9703,2025-06-01 08:34:56,16.1,91.0,81.9,True
VMS-5226,2025-06-05 22:51:20,88.9,81.5,76.1,True
RSU-2876,2025-06-07 21:20:57,55.2,86.7,73.9,True
RSU-2412,2025-06-02 08:22:13,93.5,79.6,81.7,True
CAM-8906,2025-06-01 11:24:19,20.5,70.8,51.6,True
SEN-9219,2025-06-04 17:58:18,30.3,25.8,71.9,True
CAM-9540,2025-06-04 07:36:14,69.7,17.2,70.8,True
VMS-9055,2025-06-05 12:56:06,25.4,53.4,45.2,True
VMS-4540,2025-06-06 11:25:22,90.6,69.4,77.6,True
VMS-9485,2025-06-06 07:28:25,10.2,24.5,26.4,True
SEN-8721,2025-06-03 11:22:50,75.2,25.5,55.9,True
DEV-3696,2025-06-04 19:59:06,88.3,49.8,27.2,True
RSU-6684,2025-06-06 17:50:32,22.6,28.9,75.8,True
CAM-9540,2025-06-07 00:12:20,30.6,61.7,25.4,True
CAM-5720,2025-06-02 08:38:11,42.8,40.8,45.6,True
VMS-6450,2025-06-03 18:01:14,93.8,83.7,40.7,True
CAM-3584,2025-06-04 16:42:40,83.9,63.3,44.3,True
CAM-3584,2025-06-02 16:54:52,15.5,57.1,70.7,True
RSU-1640,2025-06-07 00:21:15,91.5,72.6,75.6,True
SEN-7909,2025-06-04 20:41:27,94.9,58.4,78.4,True
SEN-9219,2025-06-01 17:37:50,51.0,62.0,37.0,True
RSU-1640,2025-06-07 05:29:43,22.6,92.6,48.1,True
VMS-2566,2025-06-03 14:54:43,38.1,15.3,83.4,True
RSU-2412,2025-06-07 17:27:09,65.0,75.0,52.5,True
DEV-5777,2025-06-05 18:34:34,56.3,34.0,50.0,True
RSU-6684,2025-06-06 18:56:39,93.5,84.0,44.8,True
DEV-5777,2025-06-02 06:39:05,51.8,85.2,72.1,True
VMS-6450,2025-06-05 10:48:49,17.7,15.5,78.0,True
RSU-2876,2025-06-03 07:11:39,64.4,48.2,49.1,True
RSU-2876,2025-06-02 19:26:02,11.3,55.3,82.9,True
VMS-5226,2025-06-07 14:40:45,31.5,51.0,34.3,True
VMS-5226,2025-06-04 11:07:34,89.9,67.2,79.5,True
RSU-6684,2025-06-04 03:40:15,79.2,54.1,35.3,False
CAM-5094,2025-06-02 17:10:14,76.4,36.6,27.7,True
SEN-9219,2025-06-04 10:03:56,64.7,81.5,46.3,True
VMS-9485,2025-06-06 08:32:33,94.3,79.6,32.7,False
SEN-6121,2025-06-06 06:15:20,28.5,76.3,63.9,True
DEV-5777,2025-06-07 17:07:38,94.9,61.2,81.4,True
CAM-8906,2025-06-05 08:31:36,21.7,10.2,67.3,True
VMS-7793,2025-06-05 00:48:27,22.8,57.8,65.9,True
VMS-9485,2025-06-03 07:55:05,81.5,79.4,46.2,True
SEN-9448,2025-06-05 06:05:43,77.8,60.3,52.4,True
SEN-6121,2025-06-04 17:47:23,33.8,59.1,69.6,True
CAM-5720,2025-06-01 17:11:19,27.8,58.5,46.2,True
CAM-5320,2025-06-07 18:50:25,17.0,55.6,32.5,True
VMS-9485,2025-06-04 17:20:19,29.9,40.1,34.7,True
SEN-9219,2025-06-06 08:35:16,61.2,84.9,54.1,True
RSU-2412,2025-06-07 06:44:07,9.5,88.9,50.1,True
RSU-9703,2025-06-05 17:14:40,25.6,79.6,71.5,True
SEN-9113,2025-06-05 08:30:14,42.1,28.7,30.0,True
SEN-9219,2025-06-01 21:28:02,24.8,58.2,80.9,True
SEN-7909,2025-06-05 14:08:43,51.7,24.9,28.5,True
VMS-6450,2025-06-04 17:59:24,12.0,28.8,31.0,True
SEN-9219,2025-06-05 06:06:54,37.7,39.4,66.6,True
RSU-9703,2025-06-05 19:14:18,77.5,84.7,72.0,True
CAM-8906,2025-06-06 18:07:41,38.3,61.3,29.7,True
CAM-8906,2025-06-02 08:34:32,50.6,45.9,46.9,True
CAM-9540,2025-06-07 18:42:35,75.6,20.6,30.8,True
VMS-2566,2025-06-04 07:07:38,76.2,50.2,39.0,True
VMS-4540,2025-06-04 18:14:29,17.6,83.2,73.6,True
RSU-1640,2025-06-04 01:55:25,44.1,87.8,39.1,False
SEN-6121,2025-06-06 08:44:32,81.6,49.9,53.8,False
VMS-9485,2025-06-05 07:20:00,59.3,28.0,54.8,False
CAM-5320,2025-06-03 15:46:34,37.5,57.4,59.1,False
