device_id,alarm_time,alarm_type,alarm_level,description
RSU-1640,2025-06-01 08:16:59,存储满,medium,磁盘使用率超过95%，存储空间即将耗尽
RSU-1640,2025-06-02 15:04:38,存储满,medium,磁盘使用率超过98%，存储空间即将耗尽
CAM-5094,2025-06-04 07:41:49,存储满,medium,磁盘使用率超过99%，存储空间即将耗尽
CAM-5720,2025-06-04 06:59:09,内存不足,medium,内存使用率达到98%，接近物理内存上限
DEV-5141,2025-06-06 17:26:49,存储满,medium,磁盘使用率超过97%，存储空间即将耗尽
DEV-3696,2025-06-02 09:35:17,设备离线,low,设备检测到通信中断，已超过29分钟未收到心跳信号
VMS-9055,2025-06-03 18:16:18,通讯中断,critical,与中心服务器通信中断，最后心跳时间16分钟前
CAM-3584,2025-06-01 16:29:29,网络延迟,low,网络延迟达到1848ms，数据传输可能出现丢包
VMS-5226,2025-06-07 15:46:37,存储满,medium,磁盘使用率超过99%，存储空间即将耗尽
DEV-5141,2025-06-02 05:34:52,传感器失效,high,传感器B相连续10次数据采集失败
RSU-6684,2025-06-06 18:45:18,传感器失效,high,传感器A相连续10次数据采集失败
SEN-8721,2025-06-03 07:22:03,设备离线,low,设备检测到通信中断，已超过51分钟未收到心跳信号
CAM-3584,2025-06-05 09:26:50,内存不足,medium,内存使用率达到99%，接近物理内存上限
DEV-5777,2025-06-01 07:54:40,网络延迟,low,网络延迟达到1007ms，数据传输可能出现丢包
VMS-5226,2025-06-06 00:16:35,存储满,medium,磁盘使用率超过89%，存储空间即将耗尽
CAM-5094,2025-06-05 07:33:11,电源故障,critical,主电源异常，已切换至备用电源，预计续航8小时
VMS-3279,2025-06-06 06:20:58,通讯中断,critical,与中心服务器通信中断，最后心跳时间32分钟前
DEV-9259,2025-06-06 19:25:09,CPU过载,medium,CPU使用率持续超过95%，可能影响设备正常运行
CAM-8906,2025-06-04 19:05:25,网络延迟,low,网络延迟达到1983ms，数据传输可能出现丢包
CAM-5720,2025-06-06 18:54:42,电源故障,critical,主电源异常，已切换至备用电源，预计续航7小时
VMS-5226,2025-06-01 07:25:34,存储满,medium,磁盘使用率超过87%，存储空间即将耗尽
RSU-2876,2025-06-03 08:59:29,存储满,medium,磁盘使用率超过89%，存储空间即将耗尽
CAM-5720,2025-06-07 14:17:52,网络延迟,low,网络延迟达到1573ms，数据传输可能出现丢包
RSU-6684,2025-06-01 07:05:32,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
CAM-8906,2025-06-01 06:27:22,设备离线,low,设备检测到通信中断，已超过58分钟未收到心跳信号
SEN-6121,2025-06-06 07:00:53,设备离线,low,设备检测到通信中断，已超过10分钟未收到心跳信号
SEN-9113,2025-06-06 19:31:07,CPU过载,medium,CPU使用率持续超过87%，可能影响设备正常运行
DEV-5777,2025-06-07 21:31:31,数据异常,high,检测到异常数据波动，数值偏离正常范围76%
VMS-6450,2025-06-01 17:20:45,内存不足,medium,内存使用率达到99%，接近物理内存上限
VMS-3279,2025-06-05 11:25:17,设备离线,low,设备检测到通信中断，已超过38分钟未收到心跳信号
RSU-4083,2025-06-03 08:03:36,电源故障,critical,主电源异常，已切换至备用电源，预计续航5小时
SEN-7909,2025-06-04 08:23:16,网络延迟,low,网络延迟达到1696ms，数据传输可能出现丢包
CAM-5320,2025-06-03 03:31:10,通讯中断,critical,与中心服务器通信中断，最后心跳时间25分钟前
RSU-6684,2025-06-03 15:44:20,温度过高,high,设备温度达到80°C，超过正常工作温度范围
VMS-9055,2025-06-06 18:32:19,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
VMS-6450,2025-06-03 17:00:09,通讯中断,critical,与中心服务器通信中断，最后心跳时间35分钟前
DEV-3696,2025-06-06 17:49:08,内存不足,medium,内存使用率达到96%，接近物理内存上限
CAM-8906,2025-06-05 20:32:51,传感器失效,high,传感器主传感器连续10次数据采集失败
SEN-9219,2025-06-03 04:29:45,存储满,medium,磁盘使用率超过99%，存储空间即将耗尽
RSU-2412,2025-06-04 15:37:06,电源故障,critical,主电源异常，已切换至备用电源，预计续航5小时
VMS-9055,2025-06-04 05:05:17,CPU过载,medium,CPU使用率持续超过90%，可能影响设备正常运行
SEN-9113,2025-06-06 22:50:06,CPU过载,medium,CPU使用率持续超过97%，可能影响设备正常运行
RSU-4083,2025-06-07 07:15:38,电源故障,critical,主电源异常，已切换至备用电源，预计续航5小时
RSU-2412,2025-06-06 22:31:20,内存不足,medium,内存使用率达到94%，接近物理内存上限
VMS-9055,2025-06-04 17:27:13,内存不足,medium,内存使用率达到99%，接近物理内存上限
VMS-4540,2025-06-07 13:29:28,数据异常,high,检测到异常数据波动，数值偏离正常范围43%
VMS-3279,2025-06-04 17:09:12,存储满,medium,磁盘使用率超过97%，存储空间即将耗尽
RSU-4083,2025-06-06 09:44:07,网络延迟,low,网络延迟达到1320ms，数据传输可能出现丢包
RSU-2412,2025-06-04 09:04:34,通讯中断,critical,与中心服务器通信中断，最后心跳时间26分钟前
SEN-6121,2025-06-03 18:54:00,数据异常,high,检测到异常数据波动，数值偏离正常范围48%
DEV-5777,2025-06-05 20:42:19,内存不足,medium,内存使用率达到90%，接近物理内存上限
RSU-2876,2025-06-01 06:11:45,电源故障,critical,主电源异常，已切换至备用电源，预计续航5小时
SEN-9219,2025-06-06 09:13:51,电源故障,critical,主电源异常，已切换至备用电源，预计续航7小时
DEV-5141,2025-06-02 12:03:06,设备离线,low,设备检测到通信中断，已超过28分钟未收到心跳信号
RSU-4083,2025-06-02 13:01:43,电源故障,critical,主电源异常，已切换至备用电源，预计续航4小时
RSU-2412,2025-06-05 01:32:10,内存不足,medium,内存使用率达到96%，接近物理内存上限
RSU-9703,2025-06-01 10:17:09,通讯中断,critical,与中心服务器通信中断，最后心跳时间17分钟前
CAM-3584,2025-06-01 06:38:40,温度过高,high,设备温度达到82°C，超过正常工作温度范围
RSU-9703,2025-06-02 19:01:47,存储满,medium,磁盘使用率超过90%，存储空间即将耗尽
CAM-3584,2025-06-04 06:01:33,数据异常,high,检测到异常数据波动，数值偏离正常范围63%
DEV-9259,2025-06-05 15:11:59,网络延迟,low,网络延迟达到972ms，数据传输可能出现丢包
SEN-9448,2025-06-03 06:17:17,传感器失效,high,传感器主传感器连续9次数据采集失败
DEV-5777,2025-06-07 19:55:25,数据异常,high,检测到异常数据波动，数值偏离正常范围34%
VMS-7793,2025-06-02 08:07:36,数据异常,high,检测到异常数据波动，数值偏离正常范围29%
VMS-6450,2025-06-07 09:04:49,CPU过载,medium,CPU使用率持续超过88%，可能影响设备正常运行
DEV-5141,2025-06-02 06:40:20,设备离线,low,设备检测到通信中断，已超过37分钟未收到心跳信号
SEN-7909,2025-06-06 07:22:16,存储满,medium,磁盘使用率超过85%，存储空间即将耗尽
CAM-5094,2025-06-06 17:03:54,存储满,medium,磁盘使用率超过95%，存储空间即将耗尽
RSU-6684,2025-06-05 19:50:40,网络延迟,low,网络延迟达到1013ms，数据传输可能出现丢包
SEN-9113,2025-06-05 08:56:56,内存不足,medium,内存使用率达到92%，接近物理内存上限
SEN-9113,2025-06-06 04:36:16,电源故障,critical,主电源异常，已切换至备用电源，预计续航7小时
SEN-7909,2025-06-02 16:49:46,存储满,medium,磁盘使用率超过98%，存储空间即将耗尽
RSU-2412,2025-06-05 08:35:06,存储满,medium,磁盘使用率超过87%，存储空间即将耗尽
SEN-9113,2025-06-02 08:06:56,通讯中断,critical,与中心服务器通信中断，最后心跳时间17分钟前
DEV-5777,2025-06-06 19:29:46,内存不足,medium,内存使用率达到97%，接近物理内存上限
CAM-8906,2025-06-05 06:22:56,传感器失效,high,传感器C相连续8次数据采集失败
SEN-9448,2025-06-06 07:11:32,电源故障,critical,主电源异常，已切换至备用电源，预计续航7小时
DEV-5141,2025-06-03 07:19:55,内存不足,medium,内存使用率达到93%，接近物理内存上限
RSU-1640,2025-06-02 07:30:54,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
RSU-6684,2025-06-02 08:41:46,CPU过载,medium,CPU使用率持续超过98%，可能影响设备正常运行
SEN-7909,2025-06-04 16:49:38,设备离线,low,设备检测到通信中断，已超过47分钟未收到心跳信号
VMS-6450,2025-06-03 07:02:20,内存不足,medium,内存使用率达到94%，接近物理内存上限
RSU-2876,2025-06-03 09:48:44,电源故障,critical,主电源异常，已切换至备用电源，预计续航4小时
CAM-8906,2025-06-03 07:14:40,内存不足,medium,内存使用率达到98%，接近物理内存上限
SEN-6121,2025-06-05 07:07:37,设备离线,low,设备检测到通信中断，已超过7分钟未收到心跳信号
CAM-8906,2025-06-02 08:56:46,存储满,medium,磁盘使用率超过85%，存储空间即将耗尽
VMS-6450,2025-06-04 00:50:22,温度过高,high,设备温度达到89°C，超过正常工作温度范围
RSU-2412,2025-06-04 06:59:18,数据异常,high,检测到异常数据波动，数值偏离正常范围26%
DEV-5141,2025-06-07 07:46:09,设备离线,low,设备检测到通信中断，已超过20分钟未收到心跳信号
VMS-3279,2025-06-03 18:51:02,内存不足,medium,内存使用率达到97%，接近物理内存上限
VMS-6450,2025-06-04 07:01:20,设备离线,low,设备检测到通信中断，已超过16分钟未收到心跳信号
SEN-9113,2025-06-01 07:51:27,网络延迟,low,网络延迟达到993ms，数据传输可能出现丢包
DEV-5777,2025-06-04 15:22:46,存储满,medium,磁盘使用率超过98%，存储空间即将耗尽
CAM-9540,2025-06-01 15:36:20,传感器失效,high,传感器主传感器连续3次数据采集失败
RSU-2876,2025-06-01 18:12:09,CPU过载,medium,CPU使用率持续超过97%，可能影响设备正常运行
RSU-2876,2025-06-02 08:09:38,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
VMS-9485,2025-06-05 17:23:16,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
RSU-9703,2025-06-04 07:29:09,温度过高,high,设备温度达到92°C，超过正常工作温度范围
VMS-6450,2025-06-01 11:04:39,CPU过载,medium,CPU使用率持续超过92%，可能影响设备正常运行
RSU-4083,2025-06-05 10:26:06,通讯中断,critical,与中心服务器通信中断，最后心跳时间65分钟前
CAM-3584,2025-06-07 07:00:33,温度过高,high,设备温度达到73°C，超过正常工作温度范围
SEN-6121,2025-06-03 16:57:49,温度过高,high,设备温度达到75°C，超过正常工作温度范围
RSU-4083,2025-06-01 06:54:07,温度过高,high,设备温度达到77°C，超过正常工作温度范围
RSU-4083,2025-06-03 06:15:57,存储满,medium,磁盘使用率超过85%，存储空间即将耗尽
SEN-9448,2025-06-01 22:08:08,存储满,medium,磁盘使用率超过97%，存储空间即将耗尽
DEV-9259,2025-06-06 06:46:20,网络延迟,low,网络延迟达到1329ms，数据传输可能出现丢包
SEN-7909,2025-06-04 07:48:52,温度过高,high,设备温度达到91°C，超过正常工作温度范围
VMS-7793,2025-06-06 08:45:52,传感器失效,high,传感器A相连续10次数据采集失败
VMS-6450,2025-06-07 18:14:55,传感器失效,high,传感器B相连续9次数据采集失败
SEN-9219,2025-06-01 07:39:46,存储满,medium,磁盘使用率超过88%，存储空间即将耗尽
CAM-5320,2025-06-05 17:54:16,数据异常,high,检测到异常数据波动，数值偏离正常范围20%
SEN-6121,2025-06-01 01:32:36,设备离线,low,设备检测到通信中断，已超过51分钟未收到心跳信号
VMS-3279,2025-06-05 17:57:04,设备离线,low,设备检测到通信中断，已超过43分钟未收到心跳信号
CAM-5720,2025-06-03 21:40:20,温度过高,high,设备温度达到85°C，超过正常工作温度范围
DEV-3696,2025-06-02 08:13:26,内存不足,medium,内存使用率达到86%，接近物理内存上限
VMS-6450,2025-06-06 08:26:31,网络延迟,low,网络延迟达到1288ms，数据传输可能出现丢包
CAM-8906,2025-06-06 09:07:04,存储满,medium,磁盘使用率超过86%，存储空间即将耗尽
VMS-7793,2025-06-04 06:52:27,传感器失效,high,传感器A相连续9次数据采集失败
SEN-9113,2025-06-07 06:31:26,内存不足,medium,内存使用率达到93%，接近物理内存上限
VMS-7793,2025-06-01 18:08:36,数据异常,high,检测到异常数据波动，数值偏离正常范围29%
RSU-1640,2025-06-01 14:08:29,通讯中断,critical,与中心服务器通信中断，最后心跳时间47分钟前
CAM-5720,2025-06-01 18:12:41,数据异常,high,检测到异常数据波动，数值偏离正常范围42%
SEN-9219,2025-06-01 05:28:39,通讯中断,critical,与中心服务器通信中断，最后心跳时间22分钟前
SEN-6121,2025-06-04 18:32:33,CPU过载,medium,CPU使用率持续超过89%，可能影响设备正常运行
DEV-9259,2025-06-03 17:56:23,温度过高,high,设备温度达到91°C，超过正常工作温度范围
VMS-2566,2025-06-02 17:48:13,内存不足,medium,内存使用率达到95%，接近物理内存上限
SEN-9219,2025-06-02 22:40:00,数据异常,high,检测到异常数据波动，数值偏离正常范围39%
CAM-8906,2025-06-03 19:40:10,设备离线,low,设备检测到通信中断，已超过57分钟未收到心跳信号
RSU-2876,2025-06-01 09:01:23,内存不足,medium,内存使用率达到85%，接近物理内存上限
VMS-5226,2025-06-04 13:59:16,内存不足,medium,内存使用率达到91%，接近物理内存上限
RSU-2876,2025-06-06 22:53:17,CPU过载,medium,CPU使用率持续超过87%，可能影响设备正常运行
VMS-6450,2025-06-04 21:40:18,内存不足,medium,内存使用率达到92%，接近物理内存上限
SEN-8721,2025-06-02 08:36:34,CPU过载,medium,CPU使用率持续超过96%，可能影响设备正常运行
DEV-9259,2025-06-01 18:39:12,通讯中断,critical,与中心服务器通信中断，最后心跳时间12分钟前
DEV-5141,2025-06-01 13:56:50,传感器失效,high,传感器B相连续9次数据采集失败
SEN-9113,2025-06-02 10:12:56,设备离线,low,设备检测到通信中断，已超过14分钟未收到心跳信号
RSU-2412,2025-06-03 20:49:51,温度过高,high,设备温度达到88°C，超过正常工作温度范围
RSU-9703,2025-06-05 06:01:49,通讯中断,critical,与中心服务器通信中断，最后心跳时间46分钟前
VMS-9485,2025-06-06 14:34:30,网络延迟,low,网络延迟达到2349ms，数据传输可能出现丢包
VMS-3279,2025-06-01 17:51:52,存储满,medium,磁盘使用率超过99%，存储空间即将耗尽
VMS-6450,2025-06-06 07:14:02,存储满,medium,磁盘使用率超过92%，存储空间即将耗尽
SEN-6121,2025-06-01 13:06:35,网络延迟,low,网络延迟达到1558ms，数据传输可能出现丢包
SEN-6121,2025-06-06 08:43:23,设备离线,low,设备检测到通信中断，已超过35分钟未收到心跳信号
CAM-5320,2025-06-01 18:45:57,温度过高,high,设备温度达到90°C，超过正常工作温度范围
CAM-5720,2025-06-06 18:15:20,网络延迟,low,网络延迟达到2540ms，数据传输可能出现丢包
DEV-5777,2025-06-07 01:09:10,内存不足,medium,内存使用率达到91%，接近物理内存上限
SEN-7909,2025-06-04 10:30:23,内存不足,medium,内存使用率达到91%，接近物理内存上限
VMS-5226,2025-06-05 18:04:12,温度过高,high,设备温度达到91°C，超过正常工作温度范围
CAM-5720,2025-06-01 17:50:37,CPU过载,medium,CPU使用率持续超过94%，可能影响设备正常运行
VMS-4540,2025-06-07 19:26:15,通讯中断,critical,与中心服务器通信中断，最后心跳时间59分钟前
RSU-6684,2025-06-01 12:23:30,数据异常,high,检测到异常数据波动，数值偏离正常范围79%
DEV-5141,2025-06-06 08:40:19,存储满,medium,磁盘使用率超过93%，存储空间即将耗尽
DEV-5141,2025-06-01 11:19:19,数据异常,high,检测到异常数据波动，数值偏离正常范围61%
CAM-3584,2025-06-01 18:30:13,存储满,medium,磁盘使用率超过88%，存储空间即将耗尽
RSU-4083,2025-06-02 12:58:50,内存不足,medium,内存使用率达到86%，接近物理内存上限
VMS-9055,2025-06-06 16:21:26,数据异常,high,检测到异常数据波动，数值偏离正常范围56%
DEV-3696,2025-06-05 22:15:48,传感器失效,high,传感器B相连续10次数据采集失败
VMS-9055,2025-06-03 09:54:12,数据异常,high,检测到异常数据波动，数值偏离正常范围32%
