road_id,plate,pass_time,speed_kmh,vehicle_type,lane_no
RD-32096,沪P70263,2025-06-05 19:56:33,65,motorcycle,1
RD-42510,鄂Y52875,2025-06-02 17:05:14,48,motorcycle,1
RD-50204,豫F37809,2025-06-04 20:16:00,117,bus,2
RD-40171,黑S82949,2025-06-06 13:28:04,96,bus,3
RD-12077,藏J05256,2025-06-05 16:24:10,66,truck,2
RD-41787,闽U44628,2025-06-05 07:44:38,47,bus,3
RD-80345,陕B97365,2025-06-01 07:56:06,37,bus,2
RD-38518,津N08122,2025-06-03 14:14:58,84,motorcycle,1
RD-68049,蒙L32540,2025-06-02 20:09:31,61,bus,3
RD-68049,皖V00041,2025-06-02 22:00:47,58,bus,2
RD-88767,皖A42632,2025-06-06 10:33:19,120,car,2
RD-59045,鲁S07760,2025-06-03 07:35:51,29,motorcycle,1
RD-29468,川U37138,2025-06-04 18:02:04,42,truck,3
RD-29468,湘X10175,2025-06-06 08:31:27,55,truck,2
RD-92869,青V56332,2025-06-06 08:07:34,29,car,3
RD-68269,琼S48954,2025-06-04 12:34:05,80,car,2
RD-50204,粤C76637,2025-06-05 02:25:18,91,bus,3
RD-70214,鄂L78447,2025-06-04 07:39:39,42,truck,3
RD-29468,黑H28241,2025-06-06 07:38:06,16,bus,2
RD-89613,鲁S07760,2025-06-05 07:16:08,35,bus,2
RD-59012,湘K44826,2025-06-05 23:24:16,75,motorcycle,2
RD-30428,黑V11836,2025-06-03 07:39:17,26,motorcycle,1
RD-47857,鲁Y40405,2025-06-05 17:46:32,46,motorcycle,4
RD-47857,闽M09800,2025-06-07 07:25:36,48,bus,3
RD-68049,新V80898,2025-06-05 11:30:03,68,car,2
RD-73274,宁Q53247,2025-06-01 20:36:53,101,motorcycle,4
RD-41935,陕W13339,2025-06-05 14:10:49,120,car,2
RD-65814,闽M09800,2025-06-02 05:13:14,111,motorcycle,2
RD-50204,粤M14690,2025-06-02 22:34:43,107,motorcycle,2
RD-88054,藏R29091,2025-06-05 14:29:22,118,bus,2
RD-17303,辽M45508,2025-06-04 18:07:41,16,truck,4
RD-29468,沪L00929,2025-06-02 08:34:46,34,truck,3
RD-50199,鲁P57236,2025-06-05 09:42:44,45,car,3
RD-32096,鄂U07329,2025-06-02 21:44:54,66,bus,3
RD-18149,皖A42632,2025-06-02 08:42:49,48,car,2
RD-92582,皖Q65698,2025-06-06 08:49:16,15,motorcycle,1
RD-50199,沪V95916,2025-06-07 06:26:02,54,bus,4
RD-38518,闽N73620,2025-06-02 18:48:12,38,bus,1
RD-81084,鄂P08242,2025-06-07 11:36:13,42,motorcycle,2
RD-77987,黑H28241,2025-06-06 07:53:19,26,bus,4
RD-51757,赣M09878,2025-06-07 17:54:17,40,bus,2
RD-70214,粤E45931,2025-06-03 07:11:32,35,motorcycle,3
RD-28356,苏N25213,2025-06-02 07:46:22,45,motorcycle,4
RD-42922,豫R23105,2025-06-01 06:37:13,51,car,4
RD-88767,宁Y55968,2025-06-07 08:15:40,41,truck,4
RD-89119,蒙G57849,2025-06-05 12:00:45,57,bus,2
RD-75458,京U34783,2025-06-05 07:43:13,54,motorcycle,1
RD-32096,甘M45035,2025-06-01 06:06:21,96,bus,3
RD-92582,辽C66950,2025-06-04 20:44:04,50,motorcycle,2
RD-19332,青U72317,2025-06-07 07:17:51,29,motorcycle,2
RD-94800,粤E45931,2025-06-05 06:54:19,111,car,2
RD-74461,渝P07696,2025-06-04 09:51:55,42,bus,2
RD-92582,粤P06456,2025-06-03 18:43:48,42,truck,1
RD-88054,藏V27821,2025-06-04 16:08:53,43,truck,1
RD-11106,豫R23105,2025-06-02 20:00:40,113,car,4
RD-75458,豫W80806,2025-06-05 19:01:32,88,bus,3
RD-60026,津R98673,2025-06-03 17:26:42,50,car,3
RD-59012,川U37138,2025-06-07 22:11:40,57,truck,4
RD-70214,青U82636,2025-06-05 16:18:06,111,truck,2
RD-63576,浙E09063,2025-06-06 12:35:30,102,truck,3
RD-10255,苏U04401,2025-06-04 18:44:49,48,motorcycle,4
RD-15488,吉W86981,2025-06-02 18:28:03,34,motorcycle,3
RD-59045,豫F37809,2025-06-05 18:45:59,50,bus,3
RD-92869,新N95079,2025-06-02 13:44:39,63,motorcycle,1
RD-41787,新U31433,2025-06-03 07:10:45,44,motorcycle,1
RD-42510,湘G80174,2025-06-05 06:41:26,85,bus,4
RD-59752,蒙S93370,2025-06-06 00:52:38,110,truck,3
RD-42510,陕W08395,2025-06-05 09:16:05,115,motorcycle,3
RD-74461,新U62318,2025-06-02 19:25:06,54,car,2
RD-51757,苏L67659,2025-06-03 11:56:45,93,car,4
RD-59752,川E47801,2025-06-02 14:57:03,59,car,3
RD-92582,鄂S79160,2025-06-06 23:11:37,98,motorcycle,2
RD-12077,湘K44826,2025-06-01 06:47:27,94,car,3
RD-47857,豫T72905,2025-06-03 17:49:03,36,car,2
RD-12077,赣T40834,2025-06-04 17:08:59,40,car,2
RD-94800,闽M09800,2025-06-01 06:07:47,66,truck,1
RD-40171,贵D89799,2025-06-02 21:19:17,116,motorcycle,2
RD-70214,桂H97026,2025-06-05 17:35:11,21,bus,3
RD-59752,鲁H84942,2025-06-04 07:37:17,20,truck,3
RD-38518,渝R75103,2025-06-01 08:05:00,21,bus,3
RD-15488,浙V28890,2025-06-05 20:13:36,66,truck,3
RD-94800,闽Y48211,2025-06-07 18:13:02,47,bus,2
RD-65814,渝T29594,2025-06-07 12:32:30,48,truck,4
RD-60026,陕B97365,2025-06-05 19:52:24,51,car,1
RD-50199,渝R75103,2025-06-03 06:27:26,65,car,4
RD-70214,渝Y32710,2025-06-03 08:18:21,49,motorcycle,1
RD-88054,藏R29091,2025-06-07 07:28:15,54,truck,1
RD-10255,云V25146,2025-06-04 11:59:04,64,car,2
RD-59012,苏L67659,2025-06-06 20:46:04,64,truck,4
RD-92582,皖G90703,2025-06-01 06:09:58,108,truck,2
RD-94800,黑Q95251,2025-06-05 15:13:51,87,car,4
RD-89613,宁F27145,2025-06-07 11:40:59,89,motorcycle,2
RD-92582,鲁B06252,2025-06-02 01:21:46,71,motorcycle,4
RD-41935,晋G72243,2025-06-06 11:28:20,62,motorcycle,4
RD-74461,陕G56290,2025-06-01 14:48:21,79,bus,1
RD-81084,川U37138,2025-06-05 11:17:16,110,bus,4
RD-30428,青U82636,2025-06-07 17:18:34,45,motorcycle,1
RD-30428,皖J96851,2025-06-06 06:32:01,101,motorcycle,2
RD-17303,豫F43722,2025-06-02 23:51:38,68,car,3
RD-60026,沪C83080,2025-06-01 00:37:53,108,motorcycle,1
RD-50199,赣T40834,2025-06-04 06:53:51,117,motorcycle,1
RD-70214,鄂C15661,2025-06-07 12:02:43,55,car,3
RD-19332,鄂W76132,2025-06-02 23:04:39,74,car,1
RD-18149,藏M29827,2025-06-01 08:29:41,51,motorcycle,3
RD-80345,陕W13339,2025-06-07 14:15:42,70,bus,1
RD-73274,鲁Y40405,2025-06-07 17:02:53,24,motorcycle,3
RD-59752,闽K16540,2025-06-02 19:39:21,74,motorcycle,3
RD-60026,鄂R40421,2025-06-06 19:29:31,119,truck,2
RD-74461,黑J68298,2025-06-02 08:59:39,40,bus,4
RD-50204,渝T29594,2025-06-04 07:52:05,49,motorcycle,3
RD-89119,鲁Z15634,2025-06-05 11:15:50,57,bus,4
RD-68269,苏P06588,2025-06-04 20:36:50,107,truck,1
RD-75458,浙V28890,2025-06-02 08:21:15,27,bus,1
RD-47857,桂U75373,2025-06-02 18:10:18,46,car,2
RD-65814,闽K16540,2025-06-02 17:08:59,38,truck,4
RD-70214,苏F50638,2025-06-04 07:36:41,29,motorcycle,2
RD-47857,吉F83362,2025-06-06 20:10:42,108,truck,1
RD-88767,宁D90487,2025-06-04 12:00:39,69,car,4
RD-40171,苏C93737,2025-06-06 09:24:03,115,motorcycle,1
RD-13357,苏L67659,2025-06-04 07:31:08,24,car,2
RD-40951,鲁P57236,2025-06-03 08:42:58,36,motorcycle,1
RD-74461,津A47291,2025-06-02 11:09:53,54,car,2
RD-68269,闽U44628,2025-06-07 18:11:05,25,truck,1
RD-19332,闽N73620,2025-06-03 07:15:55,42,car,2
RD-65814,鄂L78447,2025-06-02 16:13:28,79,car,1
RD-65814,辽W95663,2025-06-02 08:02:53,20,motorcycle,2
RD-32096,川Z24633,2025-06-05 16:51:05,45,bus,1
RD-88767,晋G72243,2025-06-03 19:31:29,58,truck,2
RD-10255,皖G90703,2025-06-06 08:43:11,41,bus,1
RD-81084,浙C10083,2025-06-06 21:43:29,94,motorcycle,3
RD-30428,蒙V14604,2025-06-06 06:40:54,102,bus,3
RD-74461,沪F90948,2025-06-04 19:57:41,69,car,2
RD-74461,青X53906,2025-06-04 07:28:04,47,motorcycle,4
RD-94800,蒙S93370,2025-06-03 08:25:54,38,truck,3
RD-37171,青U72317,2025-06-02 23:26:38,68,bus,4
RD-60026,鄂Q42996,2025-06-06 13:54:27,112,bus,1
RD-12077,闽U44628,2025-06-01 05:12:07,43,bus,2
RD-81084,粤T34101,2025-06-07 20:51:13,45,bus,4
RD-59045,桂U75373,2025-06-03 08:55:33,29,bus,3
RD-41935,粤E06396,2025-06-04 19:36:54,101,motorcycle,1
RD-13357,渝R75103,2025-06-01 05:28:04,106,car,1
RD-76046,琼S48954,2025-06-07 17:34:28,55,motorcycle,2
RD-89613,沪S65106,2025-06-01 05:00:44,57,car,3
RD-28356,苏N25213,2025-06-07 18:26:50,49,motorcycle,1
RD-80345,鲁H84942,2025-06-01 07:27:10,43,car,2
RD-14705,粤W61274,2025-06-03 19:28:45,119,motorcycle,3
RD-41787,豫F43722,2025-06-07 06:37:34,76,bus,4
RD-32096,宁K34651,2025-06-04 21:05:45,117,truck,1
RD-88054,豫E26739,2025-06-07 20:46:28,51,car,1
RD-38518,粤E45931,2025-06-01 17:01:38,22,motorcycle,1
RD-11106,渝T29594,2025-06-05 07:20:49,23,motorcycle,3
RD-74461,沪R85989,2025-06-05 18:06:48,29,truck,1
RD-88767,豫E26739,2025-06-07 07:51:07,50,truck,3
RD-13357,云V25146,2025-06-03 18:06:00,36,motorcycle,2
RD-30428,湘E32317,2025-06-07 02:01:30,99,truck,2
RD-63576,湘X10175,2025-06-03 14:39:14,86,truck,4
RD-60026,鲁B06252,2025-06-04 16:35:21,44,motorcycle,3
RD-92582,宁D90487,2025-06-05 03:00:02,53,bus,1
RD-11106,津N08122,2025-06-04 14:01:05,83,car,2
RD-10255,皖F57114,2025-06-04 07:05:48,21,car,2
RD-13357,桂U75373,2025-06-03 07:00:41,35,car,4
RD-88054,津P64084,2025-06-06 14:27:06,53,truck,1
RD-59752,苏F50638,2025-06-03 11:34:57,56,car,1
RD-42510,皖H54415,2025-06-07 08:27:52,16,bus,3
RD-51757,鄂C15661,2025-06-02 19:33:34,50,car,2
RD-68049,苏J52383,2025-06-05 21:21:34,99,bus,2
RD-38518,宁Y55968,2025-06-05 19:45:07,90,truck,4
RD-77987,皖G90703,2025-06-03 20:52:43,85,bus,3
RD-63576,京R72773,2025-06-07 15:15:09,73,bus,4
RD-80345,皖V00041,2025-06-01 20:00:49,59,car,1
RD-59752,青Z14074,2025-06-01 11:57:45,69,motorcycle,3
RD-77987,黑H28241,2025-06-03 00:40:42,49,car,2
RD-65814,苏G99914,2025-06-01 17:52:40,43,car,2
RD-51757,鲁K76927,2025-06-06 07:33:53,38,car,4
RD-38518,宁X06671,2025-06-06 08:01:17,45,motorcycle,1
RD-17303,浙V28890,2025-06-02 14:57:50,49,car,1
RD-38518,川U37138,2025-06-03 02:54:16,69,car,1
RD-13357,新V76570,2025-06-05 10:20:41,120,truck,3
RD-11106,苏N25213,2025-06-02 17:04:55,33,truck,4
RD-59045,鄂P08242,2025-06-02 11:04:38,67,bus,4
RD-88767,豫F11936,2025-06-03 07:09:35,55,truck,1
RD-50204,桂Z74836,2025-06-01 14:04:32,42,motorcycle,3
RD-40171,津A47291,2025-06-03 17:35:50,32,car,3
RD-65194,赣B44819,2025-06-01 08:40:34,38,truck,4
RD-74461,苏R45376,2025-06-03 06:28:06,50,bus,4
RD-28356,沪P70263,2025-06-03 07:21:51,36,motorcycle,3
RD-12077,粤E06396,2025-06-06 08:45:22,46,truck,1
RD-59752,青X53906,2025-06-07 11:47:55,71,bus,1
RD-28356,湘G80174,2025-06-06 19:40:50,88,car,2
RD-65194,青U82636,2025-06-01 13:09:29,107,bus,4
RD-18149,新V80898,2025-06-02 17:41:35,45,motorcycle,2
RD-28356,黑V11836,2025-06-06 18:44:15,34,car,1
RD-29468,黑H28241,2025-06-03 06:29:58,84,bus,3
RD-88054,吉W86981,2025-06-02 07:06:11,39,bus,2
RD-29468,皖M80974,2025-06-07 06:36:36,86,car,4
RD-88054,陕G56290,2025-06-03 08:47:34,52,car,1
RD-80345,渝R75103,2025-06-05 19:40:18,66,car,3
RD-81084,辽Z45626,2025-06-01 14:48:17,88,car,4
RD-92869,蒙S93370,2025-06-05 04:28:41,53,car,2
RD-41935,湘X10175,2025-06-02 06:34:19,54,motorcycle,4
RD-63576,皖Z72316,2025-06-02 08:44:01,34,car,1
RD-50204,青V56332,2025-06-03 15:34:29,115,truck,3
RD-65194,黑Q95251,2025-06-03 18:21:34,35,truck,4
RD-41935,藏V27821,2025-06-07 07:25:25,47,motorcycle,2
RD-65814,辽W95663,2025-06-01 16:44:52,100,motorcycle,1
RD-40951,云W23200,2025-06-02 08:41:14,23,motorcycle,1
RD-92869,鲁S07760,2025-06-06 15:46:36,63,car,3
RD-32096,鄂W76132,2025-06-04 21:52:18,46,motorcycle,3
RD-88054,鄂S79160,2025-06-04 05:00:36,79,truck,3
RD-88054,黑H28241,2025-06-01 17:09:18,39,bus,2
RD-50199,京U34783,2025-06-07 11:48:53,97,truck,3
RD-94800,苏C93737,2025-06-02 10:44:32,89,truck,4
RD-29468,甘A25897,2025-06-05 17:40:11,35,bus,4
RD-80345,鲁K76927,2025-06-01 08:40:29,19,truck,1
RD-60026,粤M14690,2025-06-02 22:11:37,41,motorcycle,3
RD-38518,青U72317,2025-06-03 18:14:06,15,car,1
RD-40171,津M91358,2025-06-05 18:35:25,19,bus,2
RD-68269,藏J05256,2025-06-01 08:09:09,25,truck,1
RD-12077,鄂P08242,2025-06-06 22:17:01,115,car,1
RD-60026,甘A25897,2025-06-02 07:59:46,35,car,2
RD-60026,新U62318,2025-06-02 08:52:08,52,bus,2
RD-68049,鄂U07329,2025-06-04 08:39:31,35,car,2
RD-12077,津M91358,2025-06-03 14:56:45,68,truck,2
RD-60026,陕W13339,2025-06-04 17:39:32,30,motorcycle,3
RD-50199,吉W86981,2025-06-01 08:56:02,55,car,2
RD-73274,粤W61274,2025-06-01 18:03:26,40,truck,1
RD-63576,粤E45931,2025-06-02 07:07:10,25,truck,3
RD-41935,皖V00041,2025-06-01 09:23:11,52,car,2
RD-59852,黑V11836,2025-06-07 07:27:57,39,truck,3
RD-59752,赣P46947,2025-06-01 01:26:25,106,truck,4
RD-59752,宁F27145,2025-06-07 20:42:23,118,truck,1
RD-68269,沪V95916,2025-06-07 18:32:33,41,motorcycle,2
RD-42510,鲁H84942,2025-06-04 13:57:25,55,motorcycle,2
RD-88054,新C11264,2025-06-04 07:57:45,45,truck,2
RD-89119,豫F11936,2025-06-02 18:07:52,41,car,4
RD-32096,桂Z80717,2025-06-01 20:46:22,118,motorcycle,4
RD-65814,陕E43483,2025-06-04 18:29:57,37,car,3
RD-75458,京R72773,2025-06-06 17:27:52,42,bus,3
RD-40951,新N95079,2025-06-03 19:36:13,117,motorcycle,2
RD-12077,沪F90948,2025-06-02 19:06:02,101,motorcycle,2
RD-60026,晋G72243,2025-06-06 07:52:58,19,motorcycle,3
RD-13357,粤M14690,2025-06-04 11:35:33,58,bus,2
RD-42922,豫W80806,2025-06-07 06:56:54,111,bus,2
RD-74461,苏U04401,2025-06-06 13:36:16,105,motorcycle,4
RD-28356,鄂U07329,2025-06-05 08:04:39,39,truck,4
RD-18149,新A02228,2025-06-07 07:33:35,43,car,3
RD-94800,湘E79189,2025-06-04 18:06:40,28,truck,3
RD-41787,辽C29212,2025-06-01 17:20:59,50,truck,2
RD-59012,豫E26739,2025-06-01 18:03:58,31,motorcycle,3
RD-28356,湘K44826,2025-06-01 12:06:07,69,motorcycle,4
RD-73274,甘A25897,2025-06-07 06:19:31,113,motorcycle,3
RD-51757,蒙L32540,2025-06-06 05:01:41,63,car,2
RD-15488,浙X86258,2025-06-07 18:28:07,50,bus,4
RD-77987,云V25146,2025-06-05 06:21:15,49,truck,2
RD-13357,津A47291,2025-06-06 18:21:18,15,car,2
RD-92582,津A48430,2025-06-07 06:38:48,116,truck,2
RD-10255,藏L38643,2025-06-03 08:42:32,31,motorcycle,1
RD-59012,京P84276,2025-06-06 12:14:08,73,truck,3
RD-89119,黑H28241,2025-06-03 06:13:34,55,car,1
RD-94800,津R98673,2025-06-01 06:15:48,74,bus,4
RD-68049,鄂Y52875,2025-06-03 13:21:14,104,truck,3
RD-80345,陕W13339,2025-06-06 07:58:45,37,truck,4
RD-73274,鲁Y40405,2025-06-03 08:25:39,49,bus,4
RD-88767,辽H98234,2025-06-03 07:27:41,37,car,3
RD-59045,新U31433,2025-06-04 16:25:08,42,car,2
RD-89613,鲁Y40405,2025-06-02 08:16:17,18,bus,2
RD-13357,贵N22327,2025-06-07 00:46:12,80,car,4
RD-50199,新V76570,2025-06-06 17:48:34,25,truck,4
RD-92582,辽H98234,2025-06-07 18:58:52,25,car,3
RD-14705,沪H73202,2025-06-04 17:39:18,26,bus,3
RD-74461,辽H98234,2025-06-04 19:16:36,88,truck,2
RD-59852,桂H97026,2025-06-03 12:26:36,108,bus,4
RD-77987,黑V11836,2025-06-03 19:11:55,43,bus,2
RD-19332,赣P46947,2025-06-04 06:16:17,56,bus,3
RD-94800,云W23200,2025-06-01 11:27:48,89,motorcycle,3
RD-75458,鄂L78447,2025-06-03 17:47:52,30,car,2
RD-68269,京U34783,2025-06-04 06:25:26,97,truck,3
RD-41787,云V25146,2025-06-07 13:01:29,57,truck,2
RD-47857,津A48430,2025-06-01 18:56:45,54,motorcycle,1
RD-77987,新C11264,2025-06-06 08:47:40,39,motorcycle,2
RD-30428,皖H54415,2025-06-05 17:23:03,49,bus,1
RD-17303,鄂R40421,2025-06-04 08:27:14,55,bus,1
RD-41935,津A47291,2025-06-07 14:32:28,47,bus,2
RD-28356,闽W83036,2025-06-01 00:05:41,41,car,4
RD-59752,津A47291,2025-06-06 05:54:58,72,motorcycle,1
RD-19332,新V80898,2025-06-05 07:58:58,39,truck,2
RD-37171,川Z24633,2025-06-06 08:13:01,23,truck,2
RD-89613,京R72773,2025-06-03 10:19:07,65,truck,1
RD-70214,鲁Z76351,2025-06-04 17:34:57,27,bus,1
RD-18149,闽W83036,2025-06-03 08:26:35,33,car,1
RD-12077,宁X06671,2025-06-06 07:26:18,40,truck,4
RD-70214,皖G90703,2025-06-03 20:00:45,99,motorcycle,2
RD-81084,桂H97026,2025-06-06 07:23:06,44,motorcycle,4
RD-59012,闽Y48211,2025-06-06 08:43:43,19,bus,3
RD-40171,粤H06560,2025-06-05 19:10:52,85,car,2
RD-28356,鄂L78447,2025-06-01 07:03:50,39,bus,2
RD-41935,辽T06233,2025-06-05 06:05:56,115,motorcycle,1
RD-30428,鲁K76927,2025-06-01 10:49:36,67,car,4
RD-29468,桂C66213,2025-06-01 17:41:54,24,truck,4
RD-75458,湘K44826,2025-06-07 08:52:21,51,bus,2
RD-14705,豫E26739,2025-06-02 08:07:47,48,bus,1
RD-47857,闽U44628,2025-06-01 12:14:43,50,truck,4
RD-59852,苏U04401,2025-06-04 18:54:19,17,truck,2
RD-63576,沪M06244,2025-06-04 15:34:13,100,truck,1
RD-32096,京R72773,2025-06-07 14:55:03,77,car,4
RD-68049,皖A42632,2025-06-01 07:31:57,30,motorcycle,2
RD-70214,藏V27821,2025-06-06 00:00:57,90,car,2
RD-30428,沪F90948,2025-06-06 07:01:42,54,bus,3
RD-42922,渝T72068,2025-06-04 18:13:23,38,truck,2
RD-92582,新A02228,2025-06-01 06:11:18,60,motorcycle,4
RD-11106,辽M45508,2025-06-07 23:58:36,49,car,4
RD-63576,沪P70263,2025-06-03 08:48:29,20,bus,3
RD-42922,粤M14690,2025-06-07 18:34:56,32,motorcycle,3
RD-37171,蒙G57849,2025-06-02 07:39:30,32,truck,3
RD-74461,辽Z45626,2025-06-06 17:35:58,37,car,4
RD-13357,皖Q65698,2025-06-06 18:56:49,27,motorcycle,1
RD-29468,新N95079,2025-06-01 06:57:59,71,truck,4
RD-92869,沪C79852,2025-06-05 18:34:05,23,motorcycle,4
RD-17303,辽Y41675,2025-06-07 12:49:32,92,motorcycle,1
RD-12077,渝S62730,2025-06-01 09:38:48,75,car,1
RD-77987,辽K28099,2025-06-03 00:34:58,49,motorcycle,2
RD-50204,桂H97026,2025-06-05 17:02:25,17,motorcycle,2
RD-15488,辽R89069,2025-06-02 09:46:28,94,car,4
RD-30428,粤T34101,2025-06-01 17:30:17,31,truck,3
RD-41787,京T06403,2025-06-06 10:02:42,55,motorcycle,3
RD-94800,新F67512,2025-06-01 08:16:51,49,truck,1
RD-89119,宁Q53247,2025-06-07 19:19:13,74,car,4
RD-88767,甘M45035,2025-06-05 19:19:59,54,car,1
RD-42922,津A47291,2025-06-04 13:08:32,111,motorcycle,3
RD-75458,苏J52383,2025-06-04 08:31:02,34,motorcycle,1
RD-50199,黑T50083,2025-06-07 00:36:58,92,bus,1
RD-68049,吉D44076,2025-06-02 09:30:27,67,car,1
RD-59852,川E47801,2025-06-07 17:18:20,41,bus,1
RD-19332,苏N25213,2025-06-04 20:55:04,106,truck,3
RD-59752,浙U20213,2025-06-06 18:24:59,47,bus,4
RD-92869,桂Z80717,2025-06-03 07:08:14,43,motorcycle,1
RD-29468,苏H71917,2025-06-07 08:23:23,24,truck,1
RD-92869,粤E06396,2025-06-03 15:11:44,95,car,3
RD-81084,川B36269,2025-06-03 07:25:29,33,truck,3
RD-14705,辽P66600,2025-06-05 14:50:50,108,car,4
RD-88767,闽J80363,2025-06-01 08:03:27,15,truck,2
RD-92582,黑V11836,2025-06-05 17:33:33,43,motorcycle,1
RD-50204,津R98673,2025-06-04 17:46:26,34,car,1
RD-74461,新F67512,2025-06-06 07:18:15,28,truck,3
RD-63576,津R98673,2025-06-03 18:03:11,52,truck,2
RD-37171,辽C29212,2025-06-03 15:02:43,40,motorcycle,2
RD-59852,闽Y48211,2025-06-04 07:26:59,37,bus,2
RD-50204,苏P06588,2025-06-04 00:36:24,65,car,4
RD-77987,豫T72905,2025-06-06 01:43:10,45,car,1
RD-74461,湘G80174,2025-06-02 06:14:27,107,motorcycle,3
RD-76046,粤E45931,2025-06-04 07:34:35,25,car,2
RD-10255,闽Y48211,2025-06-03 00:02:45,46,truck,3
RD-59852,桂Z80717,2025-06-07 07:28:26,24,truck,3
RD-74461,赣B44819,2025-06-02 19:03:04,102,truck,3
RD-70214,黑T50083,2025-06-06 20:27:29,70,motorcycle,4
RD-47857,沪H73202,2025-06-05 14:41:14,109,truck,4
RD-13357,贵E06641,2025-06-02 11:51:15,90,truck,3
RD-74461,新C11264,2025-06-01 07:24:32,25,motorcycle,1
RD-42922,藏V27821,2025-06-06 18:40:56,20,truck,2
RD-18149,苏H71917,2025-06-02 08:44:22,35,truck,2
RD-59852,粤H06560,2025-06-01 11:49:17,52,car,1
RD-88054,浙V28890,2025-06-05 18:41:42,53,bus,3
RD-47857,苏G99914,2025-06-07 18:09:04,38,truck,2
RD-10255,晋Y81799,2025-06-01 08:15:53,18,motorcycle,2
RD-50204,蒙V14604,2025-06-01 18:42:56,54,motorcycle,4
RD-41935,渝R27701,2025-06-07 08:32:28,51,bus,4
RD-88054,云V25146,2025-06-06 19:14:16,97,car,2
RD-40171,沪M06244,2025-06-05 07:10:34,19,motorcycle,2
RD-12077,湘E79189,2025-06-03 07:42:03,36,bus,1
RD-60026,闽Y48211,2025-06-02 07:28:57,24,truck,2
RD-63576,浙C10083,2025-06-02 07:07:37,42,car,3
RD-11106,粤E45931,2025-06-03 06:19:03,79,bus,2
RD-40951,青X53906,2025-06-07 14:37:14,45,bus,4
RD-19332,闽J80363,2025-06-07 07:32:43,37,truck,2
RD-17303,渝S62730,2025-06-06 22:23:37,42,truck,1
RD-19332,黑S82949,2025-06-05 19:31:34,65,truck,1
RD-94800,桂C66213,2025-06-02 14:15:14,76,car,3
RD-92582,辽C29212,2025-06-03 06:46:34,94,bus,4
RD-15488,辽H98234,2025-06-06 20:59:20,49,truck,1
RD-17303,黑H28241,2025-06-06 01:30:19,71,truck,3
RD-41787,苏L67659,2025-06-06 15:09:25,40,motorcycle,3
RD-89119,津M91358,2025-06-04 22:06:53,109,truck,3
RD-94800,闽U44628,2025-06-01 19:26:35,111,bus,3
RD-63576,鲁S07760,2025-06-03 14:54:05,78,truck,2
RD-17303,粤M14690,2025-06-01 14:51:30,97,car,3
RD-88054,晋T23953,2025-06-05 18:23:38,21,bus,2
RD-37171,苏U04401,2025-06-07 17:06:19,23,bus,3
