road_id,record_time,avg_speed,traffic_flow,jam_level,congestion_index
RD-68269,2025-06-06 19:43:26,34.9,142,2,4.21
RD-38518,2025-06-02 07:33:21,30.7,529,5,7.52
RD-18149,2025-06-02 10:25:56,35.6,499,3,5.04
RD-59852,2025-06-05 21:53:56,56.6,332,3,2.39
RD-13357,2025-06-05 07:19:24,26.2,362,4,1.58
RD-32096,2025-06-05 07:47:05,30.4,329,5,7.81
RD-12077,2025-06-03 18:54:34,27.4,763,5,1.46
RD-68269,2025-06-05 07:01:38,29.0,1286,3,6.72
RD-11106,2025-06-01 17:35:22,17.1,910,5,9.6
RD-65814,2025-06-05 07:32:06,31.5,1473,3,5.4
RD-40171,2025-06-03 14:57:49,54.1,187,3,5.7
RD-41787,2025-06-02 17:03:54,31.5,335,3,3.24
RD-15488,2025-06-01 07:47:36,7.2,1271,4,6.25
RD-14705,2025-06-07 08:26:20,35.0,1290,3,8.14
RD-32096,2025-06-01 08:19:19,38.7,851,3,5.07
RD-28356,2025-06-06 06:02:30,54.0,303,1,2.7
RD-13357,2025-06-07 01:33:39,51.3,362,1,0.84
RD-13357,2025-06-02 05:11:11,32.3,375,1,4.23
RD-11106,2025-06-03 07:23:26,16.5,1082,5,5.48
RD-10255,2025-06-01 18:35:41,33.6,801,4,5.22
RD-94800,2025-06-05 17:41:47,20.2,1111,4,5.86
RD-92582,2025-06-02 15:28:55,60.5,392,1,6.73
RD-28356,2025-06-01 20:16:38,91.6,110,1,6.65
RD-59752,2025-06-05 18:01:08,23.1,1305,3,8.78
RD-51757,2025-06-01 08:42:22,33.4,441,4,7.85
RD-28356,2025-06-01 20:51:53,68.4,383,1,6.12
RD-40171,2025-06-01 13:39:05,64.7,210,1,9.11
RD-60026,2025-06-06 00:33:22,33.7,332,3,8.6
RD-74461,2025-06-02 05:52:09,42.0,113,2,6.76
RD-13357,2025-06-05 12:15:59,54.8,50,1,9.04
RD-15488,2025-06-07 17:45:55,41.1,1069,4,6.94
RD-88767,2025-06-03 07:46:20,38.6,685,4,4.54
RD-28356,2025-06-02 00:14:35,38.1,517,3,0.13
RD-41935,2025-06-04 08:20:14,38.6,1117,4,8.66
RD-40171,2025-06-04 11:52:21,33.9,221,2,9.67
RD-50199,2025-06-07 16:13:17,48.2,44,1,1.33
RD-59012,2025-06-03 21:13:32,80.8,363,3,9.43
RD-92582,2025-06-06 17:43:52,33.0,840,3,7.32
RD-80345,2025-06-01 08:33:46,40.7,412,5,6.48
RD-41787,2025-06-03 08:50:59,21.8,502,5,1.98
RD-88767,2025-06-06 18:18:29,15.0,940,4,9.4
RD-15488,2025-06-03 08:02:46,38.5,1396,5,7.08
RD-89119,2025-06-07 12:31:11,67.9,401,3,3.58
RD-50199,2025-06-07 21:50:31,72.6,369,3,4.36
RD-38518,2025-06-02 17:13:09,36.2,879,5,6.22
RD-70214,2025-06-01 08:41:02,14.2,846,5,6.97
RD-42510,2025-06-04 08:33:49,18.5,836,3,6.26
RD-59045,2025-06-03 17:23:29,17.7,347,3,7.79
RD-32096,2025-06-07 18:50:07,28.0,817,3,5.73
RD-42510,2025-06-07 09:20:46,52.4,401,2,5.28
RD-73274,2025-06-06 07:41:56,25.1,720,3,4.52
RD-63576,2025-06-04 06:34:21,59.7,240,3,9.15
RD-76046,2025-06-04 17:18:00,32.6,987,5,0.28
RD-68269,2025-06-03 19:27:30,54.5,403,1,6.75
RD-28356,2025-06-01 07:11:42,22.3,1039,5,9.06
RD-63576,2025-06-04 09:34:54,92.3,448,3,8.47
RD-88054,2025-06-06 06:09:07,54.2,49,3,5.29
RD-30428,2025-06-07 12:06:52,34.6,398,2,7.87
RD-65814,2025-06-06 07:15:45,30.9,377,4,4.3
RD-76046,2025-06-06 08:19:10,20.5,814,4,9.68
RD-12077,2025-06-07 17:56:50,15.8,1175,3,9.12
RD-14705,2025-06-01 07:26:38,28.8,1163,5,9.74
RD-80345,2025-06-03 08:04:35,20.5,955,3,4.6
RD-59852,2025-06-05 07:57:34,20.8,591,3,2.16
RD-51757,2025-06-06 21:44:30,57.8,313,3,0.69
RD-59752,2025-06-05 16:27:45,41.0,300,3,0.88
RD-13357,2025-06-01 00:21:45,55.5,327,1,7.05
RD-30428,2025-06-02 17:17:53,39.3,1401,4,9.56
RD-18149,2025-06-06 18:36:44,15.4,670,5,7.74
RD-10255,2025-06-07 07:04:34,15.8,974,3,9.81
RD-92582,2025-06-01 06:18:22,32.9,239,1,4.03
RD-65814,2025-06-04 16:04:09,33.2,256,1,2.25
RD-15488,2025-06-04 17:18:45,23.7,1454,3,8.73
RD-92869,2025-06-04 07:08:34,19.6,1032,3,4.26
RD-88054,2025-06-04 11:38:39,53.7,113,3,3.13
RD-19332,2025-06-07 22:38:21,67.5,182,3,0.24
RD-76046,2025-06-01 17:41:59,10.6,1374,4,8.5
RD-19332,2025-06-06 18:05:36,26.7,551,5,8.03
RD-68049,2025-06-06 13:08:29,83.7,519,3,9.46
RD-19332,2025-06-02 19:22:30,30.4,233,3,6.37
RD-80345,2025-06-07 08:18:05,13.4,1207,4,9.48
RD-50204,2025-06-06 10:44:58,85.0,60,1,2.64
RD-92869,2025-06-07 02:56:52,82.1,481,2,9.84
RD-88054,2025-06-07 20:58:43,60.1,190,2,4.3
RD-10255,2025-06-05 19:54:19,75.4,227,3,6.9
RD-68269,2025-06-02 15:12:31,87.8,228,3,7.67
RD-92582,2025-06-01 18:30:41,22.6,444,3,7.33
RD-59752,2025-06-04 08:06:26,20.6,1303,4,6.42
RD-59752,2025-06-05 07:28:54,32.7,714,5,6.71
RD-88767,2025-06-04 08:09:28,17.5,839,5,9.79
RD-47857,2025-06-03 02:00:49,67.1,141,2,8.91
RD-59752,2025-06-05 07:38:23,25.3,1160,3,9.58
RD-51757,2025-06-07 18:09:39,38.3,1132,5,4.44
RD-41935,2025-06-02 19:30:15,83.3,287,1,3.21
RD-65194,2025-06-04 19:59:26,35.9,309,3,2.91
RD-59752,2025-06-06 08:39:42,41.7,1405,3,6.0
RD-63576,2025-06-05 13:17:15,43.6,440,1,5.61
RD-68049,2025-06-03 20:42:16,71.7,226,1,0.53
RD-13357,2025-06-05 16:21:04,75.7,274,3,3.3
RD-68269,2025-06-05 13:37:02,36.3,385,3,6.52
RD-37171,2025-06-01 09:53:51,53.4,394,2,5.76
RD-60026,2025-06-04 09:19:04,38.4,85,1,7.35
RD-42510,2025-06-02 08:42:54,31.1,981,5,7.02
RD-59852,2025-06-06 16:43:13,67.7,93,2,9.76
RD-59852,2025-06-03 08:05:05,28.5,1248,5,8.82
RD-32096,2025-06-03 15:29:59,36.9,280,1,7.22
RD-92869,2025-06-05 17:36:49,21.5,1250,4,9.82
RD-60026,2025-06-01 05:28:45,46.9,218,3,6.97
RD-59012,2025-06-03 14:57:14,39.5,127,2,2.83
RD-40171,2025-06-07 15:33:45,45.7,188,1,3.73
RD-11106,2025-06-04 08:29:42,36.4,463,4,6.0
RD-89613,2025-06-02 18:33:57,21.8,1433,5,1.0
RD-40951,2025-06-07 18:22:24,17.6,1342,4,5.43
RD-38518,2025-06-07 05:44:48,61.7,525,2,9.04
RD-38518,2025-06-04 13:56:02,88.6,486,2,7.32
RD-41935,2025-06-03 05:53:54,88.9,241,3,2.95
RD-59852,2025-06-03 16:23:43,71.9,472,2,5.34
RD-41935,2025-06-07 17:06:59,10.1,1372,4,6.23
RD-37171,2025-06-02 08:51:28,28.1,673,5,3.86
RD-76046,2025-06-07 17:48:18,26.8,992,5,8.9
RD-73274,2025-06-03 16:24:51,49.2,106,3,4.17
RD-47857,2025-06-06 21:02:32,38.1,364,2,7.68
RD-40951,2025-06-03 18:44:40,13.5,1435,3,6.58
RD-88767,2025-06-07 00:16:21,68.4,213,3,5.98
RD-51757,2025-06-06 17:22:47,25.8,613,5,9.95
RD-42510,2025-06-02 20:20:26,89.1,212,2,9.42
RD-42510,2025-06-06 06:43:48,37.1,329,2,6.59
RD-63576,2025-06-04 18:25:45,31.0,1177,3,6.3
RD-65194,2025-06-05 07:25:52,42.0,783,5,6.32
RD-89119,2025-06-06 17:01:13,30.1,523,4,7.62
RD-42922,2025-06-03 19:19:13,54.2,392,3,1.14
RD-29468,2025-06-07 13:17:32,78.5,402,1,0.81
RD-19332,2025-06-04 18:13:36,23.3,327,3,8.62
RD-28356,2025-06-05 08:36:35,22.8,583,5,7.94
RD-30428,2025-06-04 13:17:38,58.5,377,1,0.94
RD-11106,2025-06-02 05:20:04,89.1,222,2,2.61
RD-89613,2025-06-02 00:51:35,81.7,450,1,0.42
RD-59752,2025-06-02 13:33:19,33.5,152,3,5.35
RD-94800,2025-06-07 00:53:42,82.2,275,2,9.81
RD-14705,2025-06-07 00:08:27,65.0,332,1,0.38
RD-74461,2025-06-03 08:42:58,43.0,1032,5,2.08
RD-60026,2025-06-01 07:17:56,32.7,507,3,6.61
RD-59852,2025-06-07 11:25:11,44.7,338,1,6.63
RD-74461,2025-06-06 16:27:51,36.0,113,2,8.83
RD-77987,2025-06-04 08:58:36,30.2,970,5,9.48
RD-18149,2025-06-04 07:02:35,17.5,1467,5,8.9
RD-88054,2025-06-01 08:57:10,13.8,1343,4,8.36
RD-38518,2025-06-03 22:44:44,59.7,291,2,6.03
RD-30428,2025-06-02 07:38:20,38.9,979,5,6.35
RD-41935,2025-06-02 00:56:33,60.0,317,3,8.0
RD-60026,2025-06-07 20:42:48,62.9,361,1,3.25
RD-65194,2025-06-03 10:08:10,60.9,224,1,5.38
RD-89119,2025-06-07 06:14:57,42.2,504,3,7.24
RD-51757,2025-06-06 18:21:28,26.4,1403,5,5.02
RD-14705,2025-06-02 21:21:43,55.3,500,3,1.38
RD-28356,2025-06-05 16:47:49,82.2,315,1,8.15
RD-38518,2025-06-06 08:11:09,10.9,914,5,7.76
RD-41787,2025-06-05 01:08:25,71.6,439,3,9.81
RD-10255,2025-06-02 17:41:39,29.3,1176,3,8.08
RD-68049,2025-06-04 08:42:07,29.8,656,4,5.67
RD-68269,2025-06-04 08:56:47,13.1,329,3,0.86
RD-42922,2025-06-05 17:14:29,19.6,1409,3,5.53
RD-94800,2025-06-05 06:49:56,73.6,424,2,8.78
RD-10255,2025-06-02 18:39:37,26.0,376,4,5.15
RD-65194,2025-06-07 07:46:31,35.2,814,5,7.8
RD-32096,2025-06-02 07:18:22,26.8,493,3,5.48
RD-88054,2025-06-02 11:29:30,55.9,272,1,1.21
RD-47857,2025-06-03 11:59:45,38.0,168,1,8.75
RD-15488,2025-06-06 07:37:15,38.0,982,3,8.44
RD-76046,2025-06-02 11:53:15,55.9,472,3,7.92
RD-18149,2025-06-04 08:31:18,17.1,1059,5,2.04
RD-15488,2025-06-06 18:26:46,16.0,523,3,7.8
RD-32096,2025-06-06 18:57:34,33.3,609,3,5.8
RD-73274,2025-06-07 13:16:42,34.7,129,2,9.08
RD-88767,2025-06-03 17:46:13,28.1,1365,5,6.28
RD-13357,2025-06-07 23:58:38,40.2,395,3,9.0
RD-42510,2025-06-04 07:19:40,10.1,292,5,7.38
RD-59045,2025-06-04 17:29:33,37.9,1447,4,5.84
RD-41935,2025-06-05 17:22:23,14.5,1320,3,8.33
RD-38518,2025-06-07 22:35:25,69.1,328,2,3.64
RD-63576,2025-06-01 01:57:00,81.6,270,2,2.71
